avg_inlier_score,proportion_outliers,bootstrap,contamination,max_features,max_samples,n_estimators
0.16790581848828456,0.0010285949393128986,True,0.001,1.0,auto,50
0.16826760480555364,0.0010285949393128986,True,0.001,1.0,auto,55
0.18920227372444634,0.0010285949393128986,True,0.001,1.0,0.6,50
0.18572084548978465,0.0010285949393128986,True,0.001,1.0,0.6,55
0.1951884091874405,0.0010285949393128986,True,0.001,1.0,0.7,50
0.19696267845068113,0.0010285949393128986,True,0.001,1.0,0.7,55
0.16030231092769592,0.0010285949393128986,True,0.001,0.95,auto,50
0.16385157687957722,0.0009257354453816088,True,0.001,0.95,auto,55
0.18933850539894964,0.0010285949393128986,True,0.001,0.95,0.6,50
0.19263429882762276,0.0010285949393128986,True,0.001,0.95,0.6,55
0.18532654502736184,0.0010285949393128986,True,0.001,0.95,0.7,50
0.18880006739064953,0.0010285949393128986,True,0.001,0.95,0.7,55
0.1534636857589706,0.005040115202633203,True,0.005,1.0,auto,50
0.15143557372492006,0.005040115202633203,True,0.005,1.0,auto,55
0.16521276194665196,0.005040115202633203,True,0.005,1.0,0.6,50
0.16475675940927106,0.005040115202633203,True,0.005,1.0,0.6,55
0.17269809502391936,0.005040115202633203,True,0.005,1.0,0.7,50
0.17322943547096964,0.005040115202633203,True,0.005,1.0,0.7,55
0.14721912050123911,0.005040115202633203,True,0.005,0.95,auto,50
0.14783947982483486,0.005040115202633203,True,0.005,0.95,auto,55
0.1624324728836322,0.005040115202633203,True,0.005,0.95,0.6,50
0.1621622596226352,0.005040115202633203,True,0.005,0.95,0.6,55
0.16099797489604925,0.005040115202633203,True,0.005,0.95,0.7,50
0.161291878763096,0.005040115202633203,True,0.005,0.95,0.7,55
0.16855668836372634,0.0010285949393128986,False,0.001,1.0,auto,50
0.16531806738134205,0.0010285949393128986,False,0.001,1.0,auto,55
0.19720138289103348,0.0010285949393128986,False,0.001,1.0,0.6,50
0.19785690413688192,0.0010285949393128986,False,0.001,1.0,0.6,55
0.19246360634847956,0.0010285949393128986,False,0.001,1.0,0.7,50
0.19323269364198586,0.0010285949393128986,False,0.001,1.0,0.7,55
0.16804744857108023,0.0009257354453816088,False,0.001,0.95,auto,50
0.16972381946330353,0.0010285949393128986,False,0.001,0.95,auto,55
0.18780460982098826,0.0010285949393128986,False,0.001,0.95,0.6,50
0.19295337331158208,0.0010285949393128986,False,0.001,0.95,0.6,55
0.19167602866927272,0.0010285949393128986,False,0.001,0.95,0.7,50
0.19303647976421287,0.0010285949393128986,False,0.001,0.95,0.7,55
0.15608604384068248,0.005040115202633203,False,0.005,1.0,auto,50
0.15339221655858623,0.004937255708701913,False,0.005,1.0,auto,55
0.17240641144348273,0.005040115202633203,False,0.005,1.0,0.6,50
0.17504968523298728,0.005040115202633203,False,0.005,1.0,0.6,55
0.17028490946820304,0.005040115202633203,False,0.005,1.0,0.7,50
0.17078359891747455,0.005040115202633203,False,0.005,1.0,0.7,55
0.1486757924716661,0.005040115202633203,False,0.005,0.95,auto,50
0.14869377612913343,0.005040115202633203,False,0.005,0.95,auto,55
0.16444827878847543,0.005040115202633203,False,0.005,0.95,0.6,50
0.16600370615272544,0.005040115202633203,False,0.005,0.95,0.6,55
0.1659078512942753,0.005040115202633203,False,0.005,0.95,0.7,50
0.16565521374857226,0.005040115202633203,False,0.005,0.95,0.7,55
