avg_inlier_score,proportion_outliers,bootstrap,contamination,max_features,max_samples,n_estimators
0.16944152466090825,0.0010285949393128986,True,0.001,1.0,auto,50
0.16942379294240076,0.0010285949393128986,True,0.001,1.0,auto,55
0.19178451888236311,0.0010285949393128986,True,0.001,1.0,0.6,50
0.1949412116312346,0.0010285949393128986,True,0.001,1.0,0.6,55
0.1989875685697921,0.0010285949393128986,True,0.001,1.0,0.7,50
0.19673120146005868,0.0010285949393128986,True,0.001,1.0,0.7,55
0.17175876343003235,0.0010285949393128986,True,0.001,0.95,auto,50
0.1692407266404666,0.0010285949393128986,True,0.001,0.95,auto,55
0.1889026683696463,0.0010285949393128986,True,0.001,0.95,0.6,50
0.19132902336508678,0.0010285949393128986,True,0.001,0.95,0.6,55
0.19072649784063322,0.0010285949393128986,True,0.001,0.95,0.7,50
0.19016936543649945,0.0010285949393128986,True,0.001,0.95,0.7,55
0.15823288769188562,0.004937255708701913,True,0.005,1.0,auto,50
0.15892613899662064,0.005040115202633203,True,0.005,1.0,auto,55
0.17031896950063666,0.005040115202633203,True,0.005,1.0,0.6,50
0.1697093787629765,0.005040115202633203,True,0.005,1.0,0.6,55
0.17143403237936466,0.005040115202633203,True,0.005,1.0,0.7,50
0.1717289415354438,0.005040115202633203,True,0.005,1.0,0.7,55
0.15316522234913357,0.005040115202633203,True,0.005,0.95,auto,50
0.1524841018899415,0.005040115202633203,True,0.005,0.95,auto,55
0.16261425529840767,0.005040115202633203,True,0.005,0.95,0.6,50
0.16412948632755675,0.005040115202633203,True,0.005,0.95,0.6,55
0.1608234705830391,0.005040115202633203,True,0.005,0.95,0.7,50
0.16206444967552452,0.005040115202633203,True,0.005,0.95,0.7,55
0.1756879110339147,0.0010285949393128986,False,0.001,1.0,auto,50
0.1749795059961226,0.0010285949393128986,False,0.001,1.0,auto,55
0.189719535801292,0.0010285949393128986,False,0.001,1.0,0.6,50
0.19181175389181815,0.0010285949393128986,False,0.001,1.0,0.6,55
0.19276404885794937,0.0010285949393128986,False,0.001,1.0,0.7,50
0.19193609935143285,0.0010285949393128986,False,0.001,1.0,0.7,55
0.16627585523619398,0.0009257354453816088,False,0.001,0.95,auto,50
0.16695516435714547,0.0010285949393128986,False,0.001,0.95,auto,55
0.19217149383964738,0.0010285949393128986,False,0.001,0.95,0.6,50
0.19367721477827818,0.0010285949393128986,False,0.001,0.95,0.6,55
0.1926356640194641,0.0010285949393128986,False,0.001,0.95,0.7,50
0.19351909540665335,0.0010285949393128986,False,0.001,0.95,0.7,55
0.16263170368156793,0.005040115202633203,False,0.005,1.0,auto,50
0.1575517211192963,0.004937255708701913,False,0.005,1.0,auto,55
0.17104036790082688,0.005040115202633203,False,0.005,1.0,0.6,50
0.16942161882017132,0.005040115202633203,False,0.005,1.0,0.6,55
0.16738184632826653,0.005040115202633203,False,0.005,1.0,0.7,50
0.16857519255344328,0.005040115202633203,False,0.005,1.0,0.7,55
0.14979732914186863,0.005040115202633203,False,0.005,0.95,auto,50
0.1500180863102987,0.005040115202633203,False,0.005,0.95,auto,55
0.16782860637646124,0.005040115202633203,False,0.005,0.95,0.6,50
0.1675949504617332,0.005040115202633203,False,0.005,0.95,0.6,55
0.167340546077309,0.005040115202633203,False,0.005,0.95,0.7,50
0.16996705581649316,0.005040115202633203,False,0.005,0.95,0.7,55
